Date,Symbol,Close
5/18/2018,NFLX,324.18
5/21/2018,NFLX,331.82
5/22/2018,NFLX,331.62
5/23/2018,NFLX,344.72
5/24/2018,NFLX,349.29
5/25/2018,NFLX,351.29
5/29/2018,NFLX,349.73
5/30/2018,NFLX,353.54
5/31/2018,NFLX,351.6
6/1/2018,NFLX,359.93
6/4/2018,NFLX,361.81
6/5/2018,NFLX,365.8
6/6/2018,NFLX,367.45
6/7/2018,NFLX,361.4
6/8/2018,NFLX,360.57
6/11/2018,NFLX,361.45
6/12/2018,NFLX,363.83
6/13/2018,NFLX,379.93
6/14/2018,NFLX,392.87
6/15/2018,NFLX,391.98
6/18/2018,NFLX,390.4
6/19/2018,NFLX,404.98
6/20/2018,NFLX,416.76
6/21/2018,NFLX,415.44
6/22/2018,NFLX,411.09
6/25/2018,NFLX,384.48
6/26/2018,NFLX,399.39
6/27/2018,NFLX,390.39
6/28/2018,NFLX,395.42
6/29/2018,NFLX,391.43
7/2/2018,NFLX,398.18
7/3/2018,NFLX,390.52
7/5/2018,NFLX,398.39
7/6/2018,NFLX,408.25
7/9/2018,NFLX,418.97
7/10/2018,NFLX,415.63
7/11/2018,NFLX,418.65
7/12/2018,NFLX,413.5
7/13/2018,NFLX,395.8
7/16/2018,NFLX,400.48
7/17/2018,NFLX,379.48
7/18/2018,NFLX,375.13
7/19/2018,NFLX,364.23
7/20/2018,NFLX,361.05
7/23/2018,NFLX,362.66
7/24/2018,NFLX,357.32
7/25/2018,NFLX,362.87
7/26/2018,NFLX,363.09
7/27/2018,NFLX,355.21
7/30/2018,NFLX,334.96
7/31/2018,NFLX,337.45
8/1/2018,NFLX,338.38
8/2/2018,NFLX,344.5
8/3/2018,NFLX,343.09
8/6/2018,NFLX,350.92
8/7/2018,NFLX,351.83
8/8/2018,NFLX,347.61
8/9/2018,NFLX,349.36
8/10/2018,NFLX,345.87
8/13/2018,NFLX,341.31
8/14/2018,NFLX,337.49
8/15/2018,NFLX,326.4
8/16/2018,NFLX,322.44
8/17/2018,NFLX,316.78
8/20/2018,NFLX,327.73
8/21/2018,NFLX,338.02
8/22/2018,NFLX,344.44
8/23/2018,NFLX,339.17
8/24/2018,NFLX,358.82
8/27/2018,NFLX,364.58
8/28/2018,NFLX,368.49
8/29/2018,NFLX,368.04
8/30/2018,NFLX,370.98
8/31/2018,NFLX,367.68
9/4/2018,NFLX,363.6
9/5/2018,NFLX,341.18
9/6/2018,NFLX,346.46
9/7/2018,NFLX,348.68
9/10/2018,NFLX,348.41
9/11/2018,NFLX,355.93
9/12/2018,NFLX,369.95
9/13/2018,NFLX,368.15
9/14/2018,NFLX,364.56
9/17/2018,NFLX,350.35
9/18/2018,NFLX,367.65
9/19/2018,NFLX,366.96
9/20/2018,NFLX,365.36
9/21/2018,NFLX,361.19
9/24/2018,NFLX,369.61
9/25/2018,NFLX,369.43
9/26/2018,NFLX,377.88
9/27/2018,NFLX,380.71
9/28/2018,NFLX,374.13
10/1/2018,NFLX,381.43
10/2/2018,NFLX,377.14
10/3/2018,NFLX,377.05
10/4/2018,NFLX,363.65
10/5/2018,NFLX,351.35
10/8/2018,NFLX,349.1
10/9/2018,NFLX,355.71
10/10/2018,NFLX,325.89
10/11/2018,NFLX,321.1
10/12/2018,NFLX,339.56
10/15/2018,NFLX,333.13
10/16/2018,NFLX,346.4
10/17/2018,NFLX,364.7
10/18/2018,NFLX,346.71
10/19/2018,NFLX,332.67
10/22/2018,NFLX,329.54
10/23/2018,NFLX,333.16
10/24/2018,NFLX,301.83
10/25/2018,NFLX,312.87
10/26/2018,NFLX,299.83
10/29/2018,NFLX,284.84
10/30/2018,NFLX,285.81
10/31/2018,NFLX,301.78
11/1/2018,NFLX,317.38
11/2/2018,NFLX,309.1
11/5/2018,NFLX,315.44
11/6/2018,NFLX,310.84
11/7/2018,NFLX,327.5
11/8/2018,NFLX,317.92
11/9/2018,NFLX,303.47
11/12/2018,NFLX,294.07
11/13/2018,NFLX,294.4
11/14/2018,NFLX,286.73
11/15/2018,NFLX,290.06
11/16/2018,NFLX,286.21
11/19/2018,NFLX,270.6
11/20/2018,NFLX,266.98
11/21/2018,NFLX,262.13
11/23/2018,NFLX,258.82
11/26/2018,NFLX,261.43
11/27/2018,NFLX,266.63
11/28/2018,NFLX,282.65
11/29/2018,NFLX,288.75
11/30/2018,NFLX,286.13
12/3/2018,NFLX,290.3
12/4/2018,NFLX,275.33
12/6/2018,NFLX,282.88
12/7/2018,NFLX,265.14
12/10/2018,NFLX,269.7
12/11/2018,NFLX,265.32
12/12/2018,NFLX,274.88
12/13/2018,NFLX,276.02
12/14/2018,NFLX,266.84
12/17/2018,NFLX,262.8
12/18/2018,NFLX,270.94
12/19/2018,NFLX,266.77
12/20/2018,NFLX,260.58
12/21/2018,NFLX,246.39
12/24/2018,NFLX,233.88
12/26/2018,NFLX,253.67
12/27/2018,NFLX,255.57
12/28/2018,NFLX,256.08
12/31/2018,NFLX,267.66
1/2/2019,NFLX,267.66
1/3/2019,NFLX,271.2
1/4/2019,NFLX,297.57
1/7/2019,NFLX,315.34
1/8/2019,NFLX,320.27
1/9/2019,NFLX,319.96
1/10/2019,NFLX,324.66
1/11/2019,NFLX,337.59
1/14/2019,NFLX,332.94
1/15/2019,NFLX,354.64
1/16/2019,NFLX,351.39
1/17/2019,NFLX,353.19
1/18/2019,NFLX,339.1
1/22/2019,NFLX,325.16
1/23/2019,NFLX,321.99
1/24/2019,NFLX,326.67
1/25/2019,NFLX,338.05
1/28/2019,NFLX,335.66
1/29/2019,NFLX,328.9
1/30/2019,NFLX,340.66
1/31/2019,NFLX,339.5
2/1/2019,NFLX,339.85
2/4/2019,NFLX,351.34
2/5/2019,NFLX,355.81
2/6/2019,NFLX,352.19
2/7/2019,NFLX,344.71
2/8/2019,NFLX,347.57
2/11/2019,NFLX,345.73
2/12/2019,NFLX,359.97
2/13/2019,NFLX,351.77
2/14/2019,NFLX,359.07
2/15/2019,NFLX,356.87
2/19/2019,NFLX,361.92
2/20/2019,NFLX,359.91
2/21/2019,NFLX,356.97
2/22/2019,NFLX,363.02
2/25/2019,NFLX,363.91
2/26/2019,NFLX,364.97
2/27/2019,NFLX,362.87
2/28/2019,NFLX,358.1
3/1/2019,NFLX,357.32
3/4/2019,NFLX,351.04
3/5/2019,NFLX,354.3
3/6/2019,NFLX,359.61
3/7/2019,NFLX,352.6
3/8/2019,NFLX,349.6
3/11/2019,NFLX,358.86
3/12/2019,NFLX,356.27
3/13/2019,NFLX,361.21
3/14/2019,NFLX,358.82
3/15/2019,NFLX,361.46
3/18/2019,NFLX,363.44
3/19/2019,NFLX,358.78
3/20/2019,NFLX,375.22
3/21/2019,NFLX,377.87
3/22/2019,NFLX,361.01
3/25/2019,NFLX,366.23
3/26/2019,NFLX,359.97
3/27/2019,NFLX,353.37
3/28/2019,NFLX,354.61
3/29/2019,NFLX,356.56
4/1/2019,NFLX,366.96
4/2/2019,NFLX,367.72
4/3/2019,NFLX,369.75
4/4/2019,NFLX,367.88
4/5/2019,NFLX,365.49
4/8/2019,NFLX,361.41
4/9/2019,NFLX,364.71
4/10/2019,NFLX,363.92
4/11/2019,NFLX,367.65
4/12/2019,NFLX,351.14
4/15/2019,NFLX,348.87
4/16/2019,NFLX,359.46
4/17/2019,NFLX,354.74
4/18/2019,NFLX,360.35
4/22/2019,NFLX,377.34
4/23/2019,NFLX,381.89
4/24/2019,NFLX,374.23
4/25/2019,NFLX,368.33
4/26/2019,NFLX,374.85
4/29/2019,NFLX,371.83
4/30/2019,NFLX,370.54
5/1/2019,NFLX,378.81
5/2/2019,NFLX,379.06
5/3/2019,NFLX,385.03
5/6/2019,NFLX,378.67
5/7/2019,NFLX,370.46
5/8/2019,NFLX,364.37